{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[23]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.829581628607585---Ssim_score:0.6512062637938665---uiqm_va: 0.7030114871724074---uciqe_va:28.911375821684576
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[24]:---flops: 44.320K---params: 0.000B---Psnr_score: 18.000275507153304---Ssim_score:0.6532630270944506---uiqm_va: 0.7240571957667057---uciqe_va:28.80423902468976
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[25]:---flops: 44.320K---params: 0.000B---Psnr_score: 18.005452543490435---Ssim_score:0.6541997385879302---uiqm_va: 0.7279378892664231---uciqe_va:29.133898455557535
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[26]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.896907382418274---Ssim_score:0.6550927105536593---uiqm_va: 0.6953983025071603---uciqe_va:28.684692236185555
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[27]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.900664700691422---Ssim_score:0.6542734407281193---uiqm_va: 0.7170896912612468---uciqe_va:29.164722942302188
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[28]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.96772845299246---Ssim_score:0.6569421873581084---uiqm_va: 0.7271923957249797---uciqe_va:28.94959995467997
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[29]:---flops: 44.320K---params: 0.000B---Psnr_score: 18.030826573078112---Ssim_score:0.6577170945422577---uiqm_va: 0.7032323391541522---uciqe_va:28.879752749688336
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[30]:---flops: 44.320K---params: 0.000B---Psnr_score: 18.016203039576222---Ssim_score:0.658834177497951---uiqm_va: 0.7037887519904182---uciqe_va:28.503059988894034
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[31]:---flops: 44.320K---params: 0.000B---Psnr_score: 18.105463131838626---Ssim_score:0.660115365218639---uiqm_va: 0.7282281509127324---uciqe_va:28.61039216153312
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[32]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.895014420001527---Ssim_score:0.6592522459777355---uiqm_va: 0.6823684849251057---uciqe_va:28.487627761208827
