{'con1': 8, 'con2': 4, 'con3': 8, 'con4': 8, 'con5': 8, 'RCAB1': [4, 8], 'decon4': [4, 4], 'RCAB2': [4, 16], 'decon5': [4, 4], 'RCAB3': [16, 8], 'decon6': [4, 8], 'RCAB4': [4, 16], 'decon7': [4, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 65.068K---params: 0.000B---Psnr_score: 18.106075250518384---Ssim_score:0.6463762354497737---uiqm_va: 0.7518408420716326---uciqe_va:27.994839947954695
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [8, 4], 'RCAB2': [8, 12], 'decon5': [8, 4], 'RCAB3': [16, 8], 'decon6': [4, 4], 'RCAB4': [12, 12], 'decon7': [4, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 63.780K---params: 0.000B---Psnr_score: 18.054962807917104---Ssim_score:0.657701722487239---uiqm_va: 0.7061353912841583---uciqe_va:28.117313790098265
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [8, 4], 'decon4': [8, 4], 'RCAB2': [12, 12], 'decon5': [8, 4], 'RCAB3': [8, 12], 'decon6': [8, 8], 'RCAB4': [8, 4], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 80.168K---params: 0.000B---Psnr_score: 17.74457842772821---Ssim_score:0.660640210355196---uiqm_va: 0.6975756740702439---uciqe_va:27.601534062768227
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [4, 4], 'RCAB2': [4, 8], 'decon5': [8, 4], 'RCAB3': [4, 16], 'decon6': [8, 8], 'RCAB4': [12, 16], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 76.328K---params: 0.000B---Psnr_score: 18.06423587379669---Ssim_score:0.6716667813473074---uiqm_va: 0.698438407054334---uciqe_va:27.456644683709314
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 4], 'RCAB2': [4, 16], 'decon5': [4, 8], 'RCAB3': [8, 8], 'decon6': [4, 4], 'RCAB4': [16, 12], 'decon7': [8, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 63.780K---params: 0.000B---Psnr_score: 17.290440644584944---Ssim_score:0.6465004270873297---uiqm_va: 0.7410292063035309---uciqe_va:28.107826121207992
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 8, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [4, 4], 'RCAB2': [8, 8], 'decon5': [4, 4], 'RCAB3': [4, 16], 'decon6': [4, 8], 'RCAB4': [8, 12], 'decon7': [4, 8], 'decon8': [4, 4]}:epoch[200]:---flops: 81.456K---params: 0.000B---Psnr_score: 18.305592799691333---Ssim_score:0.6633737881228673---uiqm_va: 0.7148495081324928---uciqe_va:27.677430596527138
{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [8, 4], 'decon4': [4, 8], 'RCAB2': [4, 12], 'decon5': [8, 4], 'RCAB3': [12, 8], 'decon6': [8, 4], 'RCAB4': [12, 4], 'decon7': [8, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 61.736K---params: 0.000B---Psnr_score: 17.825865310477656---Ssim_score:0.6554873911085397---uiqm_va: 0.7120711365786523---uciqe_va:28.045277738157516
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 12], 'decon5': [4, 4], 'RCAB3': [8, 8], 'decon6': [8, 8], 'RCAB4': [12, 4], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 78.384K---params: 0.000B---Psnr_score: 17.815201378491736---Ssim_score:0.6576263160764212---uiqm_va: 0.7269515245956972---uciqe_va:27.49102801429063
{'con1': 8, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [4, 8], 'decon5': [8, 8], 'RCAB3': [12, 12], 'decon6': [4, 8], 'RCAB4': [4, 12], 'decon7': [8, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 84.528K---params: 0.000B---Psnr_score: 17.965114456416952---Ssim_score:0.6554873990727705---uiqm_va: 0.703603097747787---uciqe_va:27.783178489483966
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [12, 12], 'decon5': [8, 4], 'RCAB3': [4, 4], 'decon6': [8, 4], 'RCAB4': [4, 8], 'decon7': [4, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.33944627890699---Ssim_score:0.6243613333129975---uiqm_va: 0.6623192052057671---uciqe_va:27.80665466089859
